,path,query,alt,src
22,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout8.png,palms out,Male Hand Stock Pose 3-Cupped Hands by Viktoria-Lyn on DeviantArt,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/47d382cf-6dc7-4e1d-a02b-6e5aa6172908/d4yn6l3-b90b90a1-0840-4e66-baf9-04974307c53f.png/v1/fill/w_900,h_798/male_hand_stock_pose_3_cupped_hands_by_viktoria_lyn_d4yn6l3-fullview.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9Nzk4IiwicGF0aCI6IlwvZlwvNDdkMzgyY2YtNmRjNy00ZTFkLWEwMmItNmU1YWE2MTcyOTA4XC9kNHluNmwzLWI5MGI5MGExLTA4NDAtNGU2Ni1iYWY5LTA0OTc0MzA3YzUzZi5wbmciLCJ3aWR0aCI6Ijw9OTAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.vUtpWbUKwTxWEYfv4J5LaKnokFtV39LBXiTYK70X_k4"
23,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands8.jpeg,prayer hands,Praying Hands with Rosary Beads by hassified on DeviantArt,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/3e41aaf4-50f6-4f93-a1bb-52ab22309c8e/d9pcoeu-f9a0a7b2-eb0a-4885-bc68-cd3db0c96d55.jpg/v1/fill/w_400,h_516,q_75,strp/praying_hands_with_rosary_beads_by_hassified_d9pcoeu-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NTE2IiwicGF0aCI6IlwvZlwvM2U0MWFhZjQtNTBmNi00ZjkzLWExYmItNTJhYjIyMzA5YzhlXC9kOXBjb2V1LWY5YTBhN2IyLWViMGEtNDg4NS1iYzY4LWNkM2RiMGM5NmQ1NS5qcGciLCJ3aWR0aCI6Ijw9NDAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.GeTFf22UXARYwkhFFPU4f-mE_IZYNx8IJfOdWehM05Q"
24,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands9.jpeg,prayer hands,Royalty-Free photo: Depth of field photograph of person arm closed on book  | PickPik,https://i1.pickpik.com/photos/1017/782/523/pray-hands-praying-hands-prayer-preview.jpg
25,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers1.jpeg,three fingers,File:3 fingers.JPG - Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/a/a9/3_fingers.JPG
26,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers3.jpeg,three fingers,Three Fingers | Black and White Fingers | Kyle James | Flickr,https://live.staticflickr.com/3646/3395751860_338e868ea5_b.jpg
27,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers4.jpeg,three fingers,"Hand sign png sticker, transparent | Free PNG - rawpixel",https://images.rawpixel.com/image_png_social_square/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2pvYjk1OS1lbGVtZW50LWItMDEyNi1wXzEucG5n.png
28,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup0.jpeg,thumbs up,"Thumbs Up Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTA0L2pvYjk2My1hLTA0NS1wLnBuZw.png
29,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers5.jpeg,three fingers,"Three Fingers, Cheyennes | File name: 09_06_000078 Cab no.: … | Flickr",https://live.staticflickr.com/2520/4100786699_54f49946a2_b.jpg
30,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup1.jpeg,thumbs up,"Thumbs Up Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L2pvYjk2MS0wMDQ1LXAucG5n.png
31,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup2.jpeg,thumbs up,"Thumbs Up Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2pvYjk1OS1lbGVtZW50LWItMDE0OC1wLnBuZw.png
32,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers7.jpeg,three fingers,"File:Three Fingers mountain seen from Highway 530 between Darrington and  Oso, WA.jpg - Wikimedia Commons",https://upload.wikimedia.org/wikipedia/commons/e/e8/Three_Fingers_mountain_seen_from_Highway_530_between_Darrington_and_Oso%2C_WA.jpg
33,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/three fingers/threefingers8.jpeg,three fingers,"Three Fingers, balancing Society, Environment, Economy. Su… | Flickr",https://live.staticflickr.com/1336/1471098570_43387a02bf_c.jpg
34,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup4.jpeg,thumbs up,Free Stock Photo of A business person showing thumbs up sign | Download  Free Images and Free Illustrations,https://freerangestock.com/sample/136434/a-business-person-showing-thumbs-up-sign.jpg
35,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup5.png,thumbs up,File:Thumbs up symbol.png - Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/a/ad/Thumbs_up_symbol.png
36,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup6.png,thumbs up,Free Thumbs up Icon - Download in Line Style,https://cdn.iconscout.com/icon/free/png-256/free-thumbs-up-3-458386.png
37,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup7.jpeg,thumbs up,Soldier Gives Thumbs Up | A member of the Brigade Reconnaisa… | Flickr,https://live.staticflickr.com/4150/5036566692_9603ae65fd_c.jpg
38,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup8.jpeg,thumbs up,Royalty-Free photo: Man wears blue dress shirt while doing thumbs up |  PickPik,https://i1.pickpik.com/photos/426/49/136/thumb-favorite-hand-arm-preview.jpg
39,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/thumbs up/thumbsup9.jpeg,thumbs up,"Thumbs Up Free Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds  - rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA0L2pvYjcyMS0xMzMtcC5wbmc.png
40,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand0.jpeg,backoning hand,beckoning hand | This is a photo of a hand beckoning | Richard North |  Flickr,https://live.staticflickr.com/7137/6884592914_cf0b7ebf5f_b.jpg
41,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand1.jpeg,backoning hand,File:The Beckoning Hand by Grant Allen.jpg - Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/a/a2/The_Beckoning_Hand_by_Grant_Allen.jpg
42,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand3.jpeg,backoning hand,"Superstition Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2pvYjcxNy0xODEtdi5qcGc.jpg
43,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand4.jpeg,backoning hand,"Superstition Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_social_portrait/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjY5LTA2Ny1wLWwxYWR0eGU0LnBuZw.png
44,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand6.png,backoning hand,Beckoning Graveyard by SuperShadiw1010 on DeviantArt,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/3c7df78a-91b9-47aa-bc98-b6c087fedcf8/dfggo0n-9a310b64-cc39-4aa4-a27d-31810e548cd4.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzNjN2RmNzhhLTkxYjktNDdhYS1iYzk4LWI2YzA4N2ZlZGNmOFwvZGZnZ28wbi05YTMxMGI2NC1jYzM5LTRhYTQtYTI3ZC0zMTgxMGU1NDhjZDQucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.XicX4-qZnf3AU5Uudx_Sav09d36abU1h5QZ3BmzJrj0
45,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand7.jpeg,backoning hand,"Superstition Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjcyLTA5My1wLWwxbXY5M2pzLnBuZw.png
46,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand8.jpeg,backoning hand,"Library Of Congress Images | Free Photos, PNG Stickers, Wallpapers &  Backgrounds - rawpixel",https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L2xyL2xvYzIwMTg2OTQzOTQtaW1hZ2UuanBn.jpg
47,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/backoning hand/backoninghand9.jpeg,backoning hand,"Beckoning Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_social_portrait/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L3BkbWlzYzJiYXRjaDItbG9jMjAwMzY3NTI4My1pbWFnZV8yLmpwZw.jpg
48,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake0.jpeg,handshake,"Handshake Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2pvYjk1OS1lbGVtZW50LWItMDAxNDYtcC5wbmc.png
49,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake1.jpeg,handshake,Handshake - Men | Young white men in a suit shaking hands Wh… | Flickr,https://live.staticflickr.com/4585/38826275042_abcea30792_b.jpg
50,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake2.jpeg,handshake,Handshake man - women | Man and women shaking hands When usi… | Flickr,https://live.staticflickr.com/7351/14090438714_33bec862fe_b.jpg
51,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake3.jpeg,handshake,"Free hand shake image, public | Free Photo - rawpixel",https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L2pvYjk1My0wNDkteC5qcGc.jpg
52,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake4.jpeg,handshake,Free Stock Photo of Handshake between two people | Download Free Images and  Free Illustrations,https://freerangestock.com/sample/120369/handshake-between-two-people.jpg
53,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake5.jpeg,handshake,Handshake - Man and Woman | White businessman shakes hands w… | Flickr,https://live.staticflickr.com/4546/23866372757_1f2c70784c_b.jpg
54,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake6.jpeg,handshake,"Free Stock Photo of Handshake between two businesspeople, black and white |  Download Free Images and Free Illustrations",https://freerangestock.com/sample/120302/handshake-between-two-businesspeople-black-and-white.jpg
55,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake8.jpeg,handshake,Handshake - Men | White man in a suit shaking hands with His… | Flickr,https://live.staticflickr.com/4531/37969912965_10e2a1d25e_b.jpg
56,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake9.jpeg,handshake,"Free hand shake image, public | Free Photo - rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIzLTA0L2pvYjk2NC0xNTYtcC5wbmc.png
57,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers0.jpeg,five fingers,"5 Fingers Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2pvYjk1OS1lbGVtZW50LWItMDE0Mi1wXzEucG5n.png
58,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers1.jpeg,five fingers,"Five Fingers Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTEyL2pvYjk1OS1lbGVtZW50LWItMDE0MS1wXzEucG5n.png
59,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers2.jpeg,five fingers,"5 Fingers Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://images.rawpixel.com/image_social_landscape/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcHg5NDExNjAtaW1hZ2Uta3d5bnl1OGkuanBn.jpg
60,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers3.jpeg,five fingers,Vibram FiveFingers Bikila | My new Vibram FiveFingers Bikila… | Flickr,https://live.staticflickr.com/4118/4760167025_161d22a6df_b.jpg
61,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers4.jpeg,five fingers,Explore the Best Fivefingers Art | DeviantArt,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/f8c0fc34-ac77-4f0f-8496-5abad32d83cb/d82wzok-00f2770d-8805-436d-a4bf-e53b73b5c875.jpg/v1/fill/w_525,h_350,q_70,strp/fivefingers_in_the_leaves_by_americandralion_d82wzok-350t.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcL2Y4YzBmYzM0LWFjNzctNGYwZi04NDk2LTVhYmFkMzJkODNjYlwvZDgyd3pvay0wMGYyNzcwZC04ODA1LTQzNmQtYTRiZi1lNTNiNzNiNWM4NzUuanBnIiwiaGVpZ2h0IjoiPD00MDAiLCJ3aWR0aCI6Ijw9NjAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLndhdGVybWFyayJdLCJ3bWsiOnsicGF0aCI6Ilwvd21cL2Y4YzBmYzM0LWFjNzctNGYwZi04NDk2LTVhYmFkMzJkODNjYlwvYW1lcmljYW5kcmFsaW9uLTQucG5nIiwib3BhY2l0eSI6OTUsInByb3BvcnRpb25zIjowLjQ1LCJncmF2aXR5IjoiY2VudGVyIn19.ZsQG_qE6a-IteaeatwUAmxtTcTw6wdwXz1m87LomBuU"
62,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers5.jpeg,five fingers,"Vibram Five-Fingers ""Sprint"" 2 | Yes, the toes are articulat… | Flickr",https://live.staticflickr.com/1434/791866476_417ee81a58_b.jpg
63,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/hand heart/handheart0.jpeg,hand heart,File:Love-heart-hands.jpg - Wikimedia Commons,https://upload.wikimedia.org/wikipedia/commons/7/7e/Love-heart-hands.jpg
64,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/five fingers/fivefingers6.jpeg,five fingers,just picked up some Vibram Five Fingers and headed to the … | Flickr,https://live.staticflickr.com/6004/5928562374_90c3f85910_z.jpg
